country,location,year,population_size,source
Japan,Hiroshima-ken,2010,2861000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Hokkaido,2010,5508000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Hyogo-ken,2010,5589000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Ibaraki-ken,2010,2969000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Ishikawa-ken,2010,1170000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Iwate-ken,2010,1331000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Japan,2010,128056000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Kagawa-ken,2010,996000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Kagoshima-ken,2010,1706000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Kanagawa-ken,2010,9050000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Kochi-ken,2010,765000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Kumamoto-ken,2010,1817000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Kyoto-fu,2010,2637000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Mie-ken,2010,1855000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Miyagi-ken,2010,2348000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Miyazaki-ken,2010,1135000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Nagano-ken,2010,2153000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Nagasaki-ken,2010,1427000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Nara-ken,2010,1400000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Niigata-ken,2010,2375000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Oita-ken,2010,1196000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Okayama-ken,2010,1945000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Okinawa-ken,2010,1393000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Osaka-fu,2010,8863000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Saga-ken,2010,850000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Saitama-ken,2010,7195000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Shiga-ken,2010,1410000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Shimane-ken,2010,716000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Shizuoka-ken,2010,3765000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Tochigi-ken,2010,2007000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Tokushima-ken,2010,786000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Tokyo-to,2010,13162000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Tottori-ken,2010,588000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Toyama-ken,2010,1093000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Wakayama-ken,2010,1001000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Yamagata-ken,2010,1169000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Yamaguchi-ken,2010,1451000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Japan,Yamanashi-ken,2010,863000,https://www.stat.go.jp/english/data/handbook/pdf/2011all.pdf
Russia,Adygea,439996,2010,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Altai_Krai,2010,2419755,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Altai_Republic,2010,206168,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Amur_Oblast,2010,830103,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Arkhangelsk_Oblast,2010,348716,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Astrakhan_Oblast,2010,1010073,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
